action,n,f1_ae,f1_aae,f1_aae_disc
0,23,0.22222222222222224,0.22222222222222224,0.22222222222222224
1,70,0.6333333333333333,0.2608695652173913,0.2608695652173913
2,69,0.4918032786885246,0.17391304347826086,0.17391304347826086
3,168,0.4258064516129032,0.3194444444444445,0.3194444444444445
4,168,0.4444444444444444,0.4166666666666667,0.4166666666666667
5,59,0.2727272727272727,0.2857142857142857,0.2857142857142857
6,58,0.0,0.0,0.0
7,166,0.5633802816901408,0.24137931034482757,0.24137931034482757
8,143,0.42105263157894735,0.10126582278481013,0.10126582278481013
10,76,0.5172413793103449,0.4912280701754387,0.4912280701754387
11,97,0.13953488372093023,0.05128205128205128,0.05128205128205128
12,222,0.5125628140703518,0.3258426966292135,0.3258426966292135
13,133,0.4587155963302752,0.25,0.25
14,92,0.5866666666666668,0.5675675675675675,0.5675675675675675
15,87,0.638888888888889,0.647887323943662,0.647887323943662
16,88,0.6933333333333334,0.6,0.6
17,89,0.5853658536585366,0.5066666666666666,0.5066666666666666
18,92,0.6363636363636364,0.5542168674698795,0.5542168674698795
19,93,0.5853658536585366,0.45333333333333325,0.45333333333333325
20,80,0.6086956521739131,0.4761904761904763,0.4761904761904763
21,86,0.5135135135135135,0.33333333333333337,0.33333333333333337
22,73,0.6969696969696969,0.37735849056603776,0.37735849056603776
23,62,0.7499999999999999,0.2926829268292683,0.2926829268292683
24,63,0.6551724137931034,0.2272727272727273,0.2272727272727273
25,63,0.6415094339622641,0.10526315789473684,0.10526315789473684
26,58,0.5555555555555556,0.18604651162790695,0.18604651162790695
27,56,0.5454545454545454,0.06060606060606061,0.06060606060606061
28,57,0.5652173913043478,0.21621621621621626,0.21621621621621626
29,54,0.5333333333333333,0.1212121212121212,0.1212121212121212
30,63,0.6229508196721312,0.38461538461538464,0.38461538461538464
31,53,0.5660377358490566,0.14634146341463414,0.14634146341463414
